Collections,Rank,USD_Sales_in_millions_not_updated,Buyers_not_updated,Txns_not_updated,$/Txn_not_updated,$/Buyer_not_updated,Txn/Buyer_not_updated,Rank_Updated,blockchainId,USD_Sales_in_millions_Updated,Buyers_Updated,Txns_Updated,$/Txn_Updated,$/Buyer_Updated,Txn/Buyer_Updated
@Axie Infinity,1,3328.1485,1079811,9755511,341,3082,9.034461586333164,1,ronin,4090.9842087145717,1791631,17718939,230,2283,9.88983724885314
@CryptoPunks,2,1664.246968,4723,18961,87772,352370,4.014609358458607,3,ethereum,2392.128016963295,6088,22292,107308,392925,3.661629434954008
@Art Blocks,3,1075.223906,20934,117602,9142,51362,5.617751027037356,5,ethereum,1311.7287150636414,33648,185253,7080,38983,5.50561697574893
@Bored Ape Yacht Club,4,783.882186,8284,22584,34709,94626,2.7262192177691937,2,ethereum,2446.88596771,12071,32743,74730,202707,2.712534172810869
@NBA Top Shot,5,781.965423,374818,11790699,66,2086,31.457131194339652,7,flow,1033.38663038,446665,21862169,47,2313,48.94533710946683
@Mutant Ape Yacht Club,6,422.429206,10350,17343,24357,40814,1.6756521739130434,4,ethereum,1749.30167363,23847,51995,33643,73355,2.1803581163249044
@Loot,7,264.652035,3571,9997,26473,74111,2.7994959395127417,17,ethereum,280.41063370999996,4315,12137,23103,64985,2.8127462340672076
@Meebits,8,237.519388,5112,13580,17490,46463,2.656494522691706,12,ethereum,525.21920491,12601,34921,15040,41680,2.7712879930164274
@Cool Cats,9,186.937798,7960,23007,8125,23484,2.890326633165829,15,ethereum,369.98773807,12894,32355,11435,28694,2.509306654257794
@Parallel Alpha,11,163.724921,11103,67736,2417,14746,6.100693506259569,22,ethereum,226.0179442853837,26382,144246,1566,8567,5.46759153968615
@MekaVerse,12,157.475681,4668,9335,16869,33735,1.9997857754927164,30,ethereum,175.69691850929686,7081,14623,12015,24812,2.065103798898461
@0N1 Force,13,147.262453,6917,15982,9214,21289,2.310539251120428,32,ethereum,160.54679908838062,9983,21657,7413,16082,2.169387959531203
@Farmers World,14,142.416548,19459,456350,312,7318,23.451873169227607,26,wax,196.4374322080849,78442,5414003,36,2504,69.01918615027664
@Pudgy Penguins,15,136.335178,9948,26720,5102,13704,2.685967028548452,29,ethereum,186.40145184081308,13764,35760,5212,13542,2.5980819529206625
@Sorare,16,129.615752,42675,713122,181,3037,16.7105330990041,13,ethereum,443.0902076900126,119009,3881167,114,3723,32.61238225680411
@CyberKongz,19,119.204627,2279,3962,30086,52305,1.7384817902588854,24,ethereum,204.25144365,4245,7359,27755,48115,1.7335689045936395
@Solana Monkey Business,20,111.321313,3033,6727,16548,36703,2.217936036927135,28,solana,189.10293971189546,4552,10661,17737,41542,2.342047451669596
