Collections,Rank,Rank_Updated,blockchainId,USD_Sales_in_millions_not_updated,USD_Sales_in_millions_Updated,Buyers_not_updated,Buyers_Updated,Txns_not_updated,Txns_Updated
@Axie Infinity,1,1,ronin,3328.1485,4090.9842087145717,1079811,1791631,9755511,17718939
@CryptoPunks,2,3,ethereum,1664.246968,2392.128016963295,4723,6088,18961,22292
@Art Blocks,3,5,ethereum,1075.223906,1311.7287150636414,20934,33648,117602,185253
@Bored Ape Yacht Club,4,2,ethereum,783.882186,2446.88596771,8284,12071,22584,32743
@NBA Top Shot,5,7,flow,781.965423,1033.38663038,374818,446665,11790699,21862169
@Mutant Ape Yacht Club,6,4,ethereum,422.429206,1749.30167363,10350,23847,17343,51995
@Loot,7,17,ethereum,264.652035,280.41063370999996,3571,4315,9997,12137
@Meebits,8,12,ethereum,237.519388,525.21920491,5112,12601,13580,34921
@Cool Cats,9,15,ethereum,186.937798,369.98773807,7960,12894,23007,32355
@Parallel Alpha,11,22,ethereum,163.724921,226.0179442853837,11103,26382,67736,144246
@MekaVerse,12,30,ethereum,157.475681,175.69691850929686,4668,7081,9335,14623
@0N1 Force,13,32,ethereum,147.262453,160.54679908838062,6917,9983,15982,21657
@Farmers World,14,26,wax,142.416548,196.4374322080849,19459,78442,456350,5414003
@Pudgy Penguins,15,29,ethereum,136.335178,186.40145184081308,9948,13764,26720,35760
@Sorare,16,13,ethereum,129.615752,443.0902076900126,42675,119009,713122,3881167
@CyberKongz,19,24,ethereum,119.204627,204.25144365,2279,4245,3962,7359
@Solana Monkey Business,20,28,solana,111.321313,189.10293971189546,3033,4552,6727,10661
@Degenerate Ape Academy,21,36,solana,110.968075,140.3576327696946,5816,8128,17266,21511
@Bored Ape Kennel Club,22,16,ethereum,108.210267,351.03714494,5622,10599,13715,24593
@Curio Cards,23,47,ethereum,102.446048,119.3625904178778,6051,7894,18595,25249
@The Sandbox,24,14,ethereum,101.869777,371.5625182993082,9349,27968,20452,62779
@Doodles,25,11,ethereum,97.201419,530.16650062,7069,13696,12899,27564
@Creature World NFT,27,45,ethereum,93.805609,119.38432164390747,9245,12809,19740,26591
@Emblem Vault,28,48,ethereum,86.6355,114.97402808022986,3951,5718,14411,21739
@LOSTPOETS,29,55,ethereum,85.240932,101.77300698106565,7429,8915,19165,27483
@Hashmasks,30,67,ethereum,81.416217,88.32469862376357,5419,6403,17768,20284
@World Of Women,31,18,ethereum,80.972342,248.97961541,6574,10987,17576,27466
@Bored Ape Chemistry Club,32,25,ethereum,79.456705,200.61659027050288,1454,2221,2508,3884
@The Doge Pound,33,60,ethereum,77.618297,97.28961537156204,6325,8730,12674,17502
@Aurory,34,66,solana,73.560965,89.31974356162043,5447,6977,12152,16377
@Sneaky Vampire Syndicate,35,77,ethereum,63.849854,74.59115770916921,5244,7165,12384,16582
@Lazy Lions,36,58,ethereum,62.711441,98.39110520315718,8547,12130,20880,28846
@Mooncats,37,78,ethereum,59.724904,73.98470914113977,6826,9445,19897,25924
@MutantCats,40,98,ethereum,55.460314,60.336680601693004,8614,10339,19482,24321
@GalacticApes,41,97,ethereum,54.804326,60.69702413284083,6025,8243,15564,21424
@Sup Ducks,43,76,ethereum,54.344484,74.73750861137255,5891,8434,14987,20378
@Wolf Game,44,72,ethereum,51.776391,79.70341121,3803,5257,8542,14115
@888 Inner Circle,45,81,ethereum,49.40861,69.61553302144591,5040,6455,9423,15052
@Galactic Gecko Space Garage,46,100,solana,45.980345,59.500439156480596,5193,10130,18117,32270
@Adam Bomb Squad,53,79,ethereum,40.193328,73.23607093999999,8774,15001,23440,40948
@The n project,55,61,ethereum,38.674794,95.54783769280164,4757,5186,11825,13151
@Vox Collectibles,56,64,ethereum,37.809113,91.19828753432502,5242,7139,14172,19191
@Gutter Cat Gang,60,86,ethereum,35.876258,66.76306381251199,1729,2575,3343,4911
@Rumble Kong League,65,93,ethereum,33.317461,62.732299500180346,3881,5184,9969,13434
@DeadFellaz,70,59,ethereum,29.222282,98.24141973,8051,14167,17166,28906
@Frontier Game,79,87,ethereum,23.972975,66.75135522125744,3257,8298,7409,22328
