Collections,blockchainId,$/Txn_not_updated,$/Txn_Updated,$/Buyer_not_updated,$/Buyer_Updated,Txn/Buyer_not_updated,Txn/Buyer_Updated,$/Txn_variation,$/Buyer_variation,Txn/Buyer_variation
@Axie Infinity,ronin,341,230,3082,2283,9.034461586333164,9.88983724885314,0.6744868035190615,0.7407527579493836,1.0946792074265879
@CryptoPunks,ethereum,87772,107308,352370,392925,4.014609358458607,3.661629434954008,1.2225766759330994,1.1150920907001163,0.9120761468956162
@Art Blocks,ethereum,9142,7080,51362,38983,5.617751027037356,5.50561697574893,0.7744476044629184,0.75898524200771,0.9800393341127541
@Bored Ape Yacht Club,ethereum,34709,74730,94626,202707,2.7262192177691937,2.712534172810869,2.153043879109165,2.142191363895758,0.994980211103668
@NBA Top Shot,flow,66,47,2086,2313,31.457131194339652,48.94533710946683,0.7121212121212122,1.1088207094918505,1.555937723853025
@Mutant Ape Yacht Club,ethereum,24357,33643,40814,73355,1.6756521739130434,2.1803581163249044,1.3812456378043274,1.7972999460969274,1.3011997061617229
@Loot,ethereum,26473,23103,74111,64985,2.7994959395127417,2.8127462340672076,0.8727004872889359,0.8768603850980287,1.0047331001154345
@Meebits,ethereum,17490,15040,46463,41680,2.656494522691706,2.7712879930164274,0.8599199542595769,0.8970578740072747,1.0432123873564048
@Cool Cats,ethereum,8125,11435,23484,28694,2.890326633165829,2.509306654257794,1.4073846153846155,1.2218531766308975,0.8681740760591143
@Parallel Alpha,ethereum,2417,1566,14746,8567,6.100693506259569,5.46759153968615,0.6479106330161357,0.5809711108097111,0.896224590544693
@MekaVerse,ethereum,16869,12015,33735,24812,1.9997857754927164,2.065103798898461,0.712253245598435,0.7354972580406106,1.0326625102579556
@0N1 Force,ethereum,9214,7413,21289,16082,2.310539251120428,2.169387959531203,0.8045365747775125,0.755413593874771,0.9389098057863428
@Farmers World,wax,312,36,7318,2504,23.451873169227607,69.01918615027664,0.11538461538461539,0.3421699918010385,2.9430137905077967
@Pudgy Penguins,ethereum,5102,5212,13704,13542,2.685967028548452,2.5980819529206625,1.0215601724813799,0.9881786339754816,0.9672799127116299
@Sorare,ethereum,181,114,3037,3723,16.7105330990041,32.61238225680411,0.6298342541436464,1.225880803424432,1.951606334973701
@CyberKongz,ethereum,30086,27755,52305,48115,1.7384817902588854,1.7335689045936395,0.9225221033038623,0.9198929356658063,0.9971740367412683
@Solana Monkey Business,solana,16548,17737,36703,41542,2.217936036927135,2.342047451669596,1.071851583272903,1.1318420837533716,1.0559580676250757
@Degenerate Ape Academy,solana,6426,6524,19079,17268,2.968707015130674,2.6465305118110236,1.0152505446623095,0.9050788825410137,0.8914758170214824
@Bored Ape Kennel Club,ethereum,7889,14273,19247,33119,2.4395233013162576,2.320313237097839,1.8092280390417037,1.720735699069985,0.9511338694104303
@Curio Cards,ethereum,5509,4727,16930,15120,3.0730457775574287,3.1985051938180895,0.8580504628789254,0.8930891907855877,1.0408257557296725
@The Sandbox,ethereum,4980,5918,10896,13285,2.187613648518558,2.2446724828375286,1.1883534136546186,1.219254772393539,1.0260826834562906
@Doodles,ethereum,7535,19234,13750,38709,1.8247276842551987,2.0125584112149535,2.552621101526211,2.8152,1.102936305828243
@Creature World NFT,ethereum,4752,4489,10146,9320,2.135208220659816,2.0759622140682334,0.9446548821548821,0.918588606347329,0.9722528201145297
@Emblem Vault,ethereum,6011,5288,21927,20107,3.647431030118957,3.8018537950332285,0.8797205123939444,0.9169973092534318,1.0423374050500511
@LOSTPOETS,ethereum,4447,3703,11474,11415,2.5797550141338,3.082781828379136,0.832696199685181,0.9948579396897334,1.1949901488666113
@Hashmasks,ethereum,4582,4354,15024,13794,3.2788337331611,3.1678900515383415,0.9502400698384985,0.9181309904153354,0.9661636756689708
@World Of Women,ethereum,4606,9065,12317,22661,2.6735625190142986,2.499863475015928,1.9680851063829787,1.8398148899894455,0.9350308650861806
@Bored Ape Chemistry Club,ethereum,31681,51652,54646,90327,1.7248968363136177,1.7487618190004504,1.630377828982671,1.6529480657321671,1.013835600010628
@The Doge Pound,ethereum,6124,5558,12271,11144,2.003794466403162,2.004810996563574,0.9075767472240366,0.908157444381061,1.0005073026088531
@Aurory,solana,6053,5453,13504,12802,2.23095281806499,2.3472839329224593,0.9008755988765901,0.9480154028436019,1.0521441394526527
@Sneaky Vampire Syndicate,ethereum,5155,4498,12175,10410,2.3615560640732265,2.3143056524773202,0.8725509214354995,0.8550308008213552,0.9799918315238265
@Lazy Lions,ethereum,3003,3410,7337,8111,2.442962442962443,2.378070898598516,1.1355311355311355,1.1054927081913588,0.9734373549004559
@Mooncats,ethereum,3001,2853,8749,7833,2.9148842660416054,2.744732662784542,0.9506831056314562,0.8953023202651732,0.9416266349785035
@MutantCats,ethereum,2846,2480,6438,5835,2.26166705363362,2.352355160073508,0.8713984539704849,0.9063373718546133,1.0400979031348525
@GalacticApes,ethereum,3521,2833,9096,7363,2.5832365145228215,2.5990537425694527,0.8046009656347628,0.809476693051891,1.0061230274338828
@Sup Ducks,ethereum,3626,3667,9225,8861,2.544050246138177,2.416172634574342,1.0113072255929398,0.9605420054200542,0.9497346360363947
@Wolf Game,ethereum,6061,5646,13614,15161,2.2461214830397056,2.684991439984782,0.9315294505857119,1.1136330248273836,1.1953901248258167
